,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
global_raw,323.1058333333333,324.0696064729145,325.4529045984719,325.8075635921003,329.5581322502879,330.4667491494241,331.15580365215686,331.71755822168535,332.23775961584596,333.74976709434685,335.4874811686087,336.76994626668403,338.8019288246909,339.97222062139394,340.8165103735916,342.45361154999136,344.23205038351557,345.5111308226571,346.94557699241926,348.8770811550212,351.38128121920386,353.06862731880443,354.106926234844,355.4951922437454,356.2327506988438,356.9600960147345,358.3799465735013,360.33834833863807,362.08078774114233,363.2257919649807,365.95853540831035,367.93204193735806,369.1351318325397,370.5981993070163,372.7281169914551,375.2996664634802,377.0658258899162,379.1014243936954,381.1845079003988,382.98230592268584,385.02259504033765,386.5744803122211,388.80966895125954,390.75800362412616,392.90270143489124,395.71236213492944,397.4844990583925,399.8263649165981,403.143736892637,405.3196886917342
NH_raw,323.1058333333333,324.0696064729145,325.4529045984719,325.8075635921003,329.5581322502879,331.3041726888361,332.29876169829623,333.1160119413366,333.14758507857164,334.65525458679446,336.42750308382216,337.5827176727868,339.5626393351659,341.0497668093527,341.76307970015097,343.37799786718006,345.3555000859842,346.6309038535037,348.1623669289211,350.0188837171857,352.6110568663083,354.3590956975168,355.2732180856671,356.93361870863373,357.5094727749451,358.1029235824447,359.85602497415795,361.7202837928826,363.663643388224,364.624549231763,367.51355547248426,369.50853307581593,370.8530578353298,372.32110522113845,374.29444451417413,377.0772471701883,378.6274232582632,380.7432937107303,383.0335624077588,384.63595867544626,386.77969156583885,388.22411661412826,390.95936550970123,392.778623708228,395.02581749647817,397.9160681687251,399.44409285442254,401.74960972105174,405.1217825116933,407.3910673451476
SH_raw,NaN,NaN,NaN,NaN,NaN,328.109812581321,330.0359088871333,330.39546642273007,331.18718366420575,332.45635710661196,334.2844568072795,335.81136594114366,337.92353598869465,338.89467443343517,339.8699410470323,341.52922523280284,343.10860068104694,344.3913577918106,345.7287870559175,347.73527859285673,350.15150557209955,351.77815894009217,352.94063438402105,354.05676577885725,354.9560286227425,355.81726844702445,356.90386817284474,358.95641288439356,360.4979320940607,361.82703469819825,364.40351534413657,366.3555507989003,367.4172058297497,368.87529339289404,371.1617894687361,373.5220857567721,375.5042285215693,377.45955507666076,379.335453393039,381.3286531699255,383.2654985148365,384.92484401031396,386.659972392818,388.73738354002444,390.77958537330454,393.5086561011338,395.52490526236244,397.90312011214456,401.16569127358065,403.248310038321
global_cal,323.015425,324.1126985823087,325.3985289506915,326.33733669095756,329.03076659538493,330.12369446508075,330.97555655468557,331.5507510208669,332.2986837094002,333.7595718071282,335.4024330541667,336.76110361878284,338.62361518274224,339.9745921793445,340.94433110074993,342.4777302806024,344.12305542147254,345.51740905927954,347.0122231135781,348.93851592824893,351.3395017698493,353.0080867915461,354.1974066497266,355.483934050768,356.25271094738235,357.13086099492693,358.5480236021372,360.36549172077054,362.04735362042,363.38792400095167,365.88948157346937,367.90988794972895,369.38943726152064,370.9049948347113,372.8687225147473,375.1821846333601,377.0219715738568,379.07876120238126,381.14396908702156,383.02095206145714,384.9952894068392,386.6350977511495,388.76600009490653,390.80437857782346,392.98827522528524,395.52215680907443,397.5315299179876,399.93281344999946,403.0108578843479,405.32330728288497
NH_cal,323.015425,324.1126985823087,325.3985289506915,326.33733669095756,329.03076659538493,330.80493623254114,331.86033368569184,332.49697831560553,333.3303756968247,334.7955133214753,336.4397868711448,337.59716375279345,339.47600840025586,341.0276675956814,341.9504057614336,343.543633342611,345.4181893444947,346.82718659993105,348.2810644939197,350.12773987189615,352.52850730768097,354.30763461331003,355.4876295478009,356.94010892579763,357.5691348380971,358.37202065005835,359.95195478793056,361.7878833828407,363.6216281301632,364.8470860510122,367.42817683638117,369.468530321501,370.9458791466083,372.4447895159474,374.4099090844759,376.88391121942306,378.67535765219304,380.73172372064505,382.95025134585194,384.74932699238553,386.7488128860825,388.3567776158181,390.72176405791134,392.82839424513145,395.03761435914976,397.5902434006193,399.416303395042,401.8109500929814,404.9927392786394,407.382713441152
SH_cal,NaN,NaN,NaN,NaN,NaN,328.07258545925276,329.953903925167,330.4581418542031,331.1073884160798,332.56336958278246,334.3650792371886,335.92504348477223,337.7712219652288,338.9215167630077,339.9382564400665,341.4118272185938,342.8279214984506,344.2076315186282,345.7433817332367,347.7492919846017,350.1504962320177,351.70853896978224,352.9071837516524,354.02775917573854,354.9362870566674,355.8897013397957,357.14409241634417,358.9431000587004,360.47307911067696,361.9287619508912,364.3507863105577,366.3512455779569,367.8329953764331,369.3652001534753,371.3275359450188,373.4804580472972,375.36858549552045,377.4257986841175,379.3376868281911,381.2925771305286,383.2417659275962,384.9134178864809,386.8102361319016,388.78036291051563,390.9389360914209,393.45407021752953,395.64675644093313,398.0546768070176,401.02897649005655,403.26390112461786
