REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_amy_surface-insitu_39_9999-9999_monthly.txt
REM03  STATION: Anmyeon-do
REM04  CATEGORY: GAW Regional
REM05  COUNTRY/TERRITORY: Republic of Korea
REM06  SUBMITTED BY: KMA
REM07  LATITUDE:   36 32' N
REM08  LONGITUDE: 126 20' E
REM09  ALTITUDE:       46 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: January 1999 - April 2018
REM13  UNIT: ppm
REM14  ANALYSIS: NDIR(1999-01-01 - 2011-12-31)  CRDS(2012-01-01 - 2018-04-01)
REM15  SAMPLING TYPE: surface-insitu
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X2007(1999-01-01 - 2018-04-01)
REM18  TABLENAME: AMY236N039iz
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-10-05
REM21
REM22  COMMENT: Dataset was made from entire historical data provided from contributor from 2018 new WDCGG website open onward
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
2004 08  373.520 -99 -9999   0.400 -99  1.000000  0.000000
2004 09  374.520 -99 -9999   0.900 -99  1.000000  0.000000
2004 10  378.650 -99 -9999   1.300 -99  1.000000  0.000000
2004 11  382.450 -99 -9999   0.800 -99  1.000000  0.000000
2004 12  383.910 -99 -9999   0.200 -99  1.000000  0.000000
2005 01  384.410 -99 -9999   0.200 -99  1.000000  0.000000
2005 02  385.170 -99 -9999   0.300 -99  1.000000  0.000000
2005 03  386.520 -99 -9999   0.300 -99  1.000000  0.000000
2005 04  386.980 -99 -9999   0.000 -99  1.000000  0.000000
2005 05  385.980 -99 -9999   0.600 -99  1.000000  0.000000
2005 06  382.830 -99 -9999   1.100 -99  1.000000  0.000000
2005 07  378.590 -99 -9999   1.200 -99  1.000000  0.000000
2005 08  375.660 -99 -9999   0.400 -99  1.000000  0.000000
2005 09  376.630 -99 -9999   0.800 -99  1.000000  0.000000
2005 10  380.720 -99 -9999   1.300 -99  1.000000  0.000000
2005 11  384.580 -99 -9999   0.800 -99  1.000000  0.000000
2005 12  386.070 -99 -9999   0.200 -99  1.000000  0.000000
2006 01  386.400 -99 -9999   0.100 -99  1.000000  0.000000
2006 02  387.330 -99 -9999   0.400 -99  1.000000  0.000000
2006 03  388.660 -99 -9999   0.300 -99  1.000000  0.000000
2006 04  389.280 -99 -9999   0.100 -99  1.000000  0.000000
2006 05  388.250 -99 -9999   0.600 -99  1.000000  0.000000
2006 06  385.090 -99 -9999   1.100 -99  1.000000  0.000000
2006 07  380.840 -99 -9999   1.200 -99  1.000000  0.000000
2006 08  377.870 -99 -9999   0.400 -99  1.000000  0.000000
2006 09  378.810 -99 -9999   0.900 -99  1.000000  0.000000
2006 10  382.920 -99 -9999   1.300 -99  1.000000  0.000000
2006 11  386.650 -99 -9999   0.800 -99  1.000000  0.000000
2006 12  388.320 -99 -9999   0.200 -99  1.000000  0.000000
2007 01  388.660 -99 -9999   0.200 -99  1.000000  0.000000
2007 02  389.640 -99 -9999   0.300 -99  1.000000  0.000000
2007 03  390.880 -99 -9999   0.400 -99  1.000000  0.000000
2007 04  391.690 -99 -9999   0.100 -99  1.000000  0.000000
2007 05  390.510 -99 -9999   0.600 -99  1.000000  0.000000
2007 06  387.350 -99 -9999   1.200 -99  1.000000  0.000000
2007 07  383.070 -99 -9999   1.200 -99  1.000000  0.000000
2007 08  380.110 -99 -9999   0.400 -99  1.000000  0.000000
2007 09  381.080 -99 -9999   0.800 -99  1.000000  0.000000
2007 10  385.150 -99 -9999   1.400 -99  1.000000  0.000000
2007 11  389.020 -99 -9999   0.700 -99  1.000000  0.000000
2007 12  390.550 -99 -9999   0.200 -99  1.000000  0.000000
2008 01  390.770 -99 -9999   0.100 -99  1.000000  0.000000
2008 02  391.980 -99 -9999   0.400 -99  1.000000  0.000000
2008 03  393.210 -99 -9999   0.300 -99  1.000000  0.000000
2008 04  393.910 -99 -9999   0.100 -99  1.000000  0.000000
2008 05  392.660 -99 -9999   0.600 -99  1.000000  0.000000
2008 06  389.580 -99 -9999   1.100 -99  1.000000  0.000000
2008 07  385.250 -99 -9999   1.200 -99  1.000000  0.000000
2008 08  382.300 -99 -9999   0.400 -99  1.000000  0.000000
2008 09  383.410 -99 -9999   0.900 -99  1.000000  0.000000
2008 10  387.460 -99 -9999   1.300 -99  1.000000  0.000000
2008 11  391.380 -99 -9999   0.900 -99  1.000000  0.000000
2008 12  392.950 -99 -9999   0.100 -99  1.000000  0.000000
2009 01  393.130 -99 -9999   0.200 -99  1.000000  0.000000
2009 02  394.190 -99 -9999   0.400 -99  1.000000  0.000000
2009 03  395.450 -99 -9999   0.300 -99  1.000000  0.000000
2009 04  396.110 -99 -9999   0.100 -99  1.000000  0.000000
2009 05  394.990 -99 -9999   0.700 -99  1.000000  0.000000
2009 06  391.630 -99 -9999   1.200 -99  1.000000  0.000000
2009 07  387.400 -99 -9999   1.100 -99  1.000000  0.000000
2009 08  384.720 -99 -9999   0.300 -99  1.000000  0.000000
2009 09  385.720 -99 -9999   0.800 -99  1.000000  0.000000
2009 10  389.760 -99 -9999   1.300 -99  1.000000  0.000000
2009 11  393.650 -99 -9999   0.800 -99  1.000000  0.000000
2009 12  395.190 -99 -9999   0.200 -99  1.000000  0.000000
2010 01  395.620 -99 -9999   0.100 -99  1.000000  0.000000
2010 02  396.380 -99 -9999   0.300 -99  1.000000  0.000000
2010 03  397.680 -99 -9999   0.400 -99  1.000000  0.000000
2010 04  398.350 -99 -9999   0.100 -99  1.000000  0.000000
2010 05  397.400 -99 -9999   0.600 -99  1.000000  0.000000
2010 06  394.240 -99 -9999   1.100 -99  1.000000  0.000000
2010 07  390.080 -99 -9999   1.200 -99  1.000000  0.000000
2010 08  387.130 -99 -9999   0.400 -99  1.000000  0.000000
2010 09  388.010 -99 -9999   0.900 -99  1.000000  0.000000
2010 10  392.180 -99 -9999   1.300 -99  1.000000  0.000000
2010 11  396.020 -99 -9999   0.800 -99  1.000000  0.000000
2010 12  397.520 -99 -9999   0.100 -99  1.000000  0.000000
2011 01  397.730 -99 -9999   0.100 -99  1.000000  0.000000
2011 02  398.590 -99 -9999   0.300 -99  1.000000  0.000000
2011 03  400.030 -99 -9999   0.400 -99  1.000000  0.000000
2011 04  400.720 -99 -9999   0.100 -99  1.000000  0.000000
2011 05  399.730 -99 -9999   0.500 -99  1.000000  0.000000
2011 06  396.770 -99 -9999   1.100 -99  1.000000  0.000000
2011 07  392.490 -99 -9999   1.200 -99  1.000000  0.000000
2011 08  389.480 -99 -9999   0.400 -99  1.000000  0.000000
2011 09  390.470 -99 -9999   0.900 -99  1.000000  0.000000
2011 10  394.580 -99 -9999   1.400 -99  1.000000  0.000000
2011 11  398.520 -99 -9999   0.700 -99  1.000000  0.000000
2011 12  399.760 -99 -9999   0.200 -99  1.000000  0.000000
2012 01  400.270 -99 -9999   0.100 -99  1.000000  0.000000
2012 02  401.030 -99 -9999   0.400 -99  1.000000  0.000000
2012 03  402.700 -99 -9999   0.400 -99  1.000000  0.000000
2012 04  403.340 -99 -9999   0.100 -99  1.000000  0.000000
2012 05  402.160 -99 -9999   0.700 -99  1.000000  0.000000
2012 06  398.960 -99 -9999   1.100 -99  1.000000  0.000000
2012 07  394.850 -99 -9999   1.200 -99  1.000000  0.000000
2012 08  391.950 -99 -9999   0.400 -99  1.000000  0.000000
2012 09  393.090 -99 -9999   0.900 -99  1.000000  0.000000
2012 10  397.150 -99 -9999   1.400 -99  1.000000  0.000000
2012 11  401.110 -99 -9999   0.800 -99  1.000000  0.000000
2012 12  402.510 -99 -9999   0.100 -99  1.000000  0.000000
2013 01  402.860 -99 -9999   0.100 -99  1.000000  0.000000
2013 02  403.800 -99 -9999   0.400 -99  1.000000  0.000000
2013 03  405.220 -99 -9999   0.400 -99  1.000000  0.000000
2013 04  405.820 -99 -9999   0.100 -99  1.000000  0.000000
