REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_kps_surface-insitu_28_9999-9999_monthly.txt
REM03  STATION: K-Puszta
REM04  CATEGORY: GAW Regional
REM05  COUNTRY/TERRITORY: Hungary
REM06  SUBMITTED BY: HMS
REM07  LATITUDE:   46 58' N
REM08  LONGITUDE:  19 35' E
REM09  ALTITUDE:      125 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: January 1981 - June 1999
REM13  UNIT: ppm
REM14  ANALYSIS: NDIR(1981-01-01 - 1999-06-01)
REM15  SAMPLING TYPE: surface-insitu
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X2007(1981-01-01 - 1999-06-01)
REM18  TABLENAME: KPS646N028iz
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-06-13
REM21
REM22  COMMENT: Dataset was made using the former WDCGG data file
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
1985 12 -9999999 -99     0 -999999   8  1.000000  0.000000
1986 01 -9999999 -99     0 -999999   8  1.000000  0.000000
1986 02 -9999999 -99     0 -999999   8  1.000000  0.000000
1986 03 -9999999 -99     0 -999999   8  1.000000  0.000000
1986 04  350.101 -99    14   3.835   0  1.000000  0.000000
1986 05  346.167 -99    31   3.266   0  1.000000  0.000000
1986 06  340.331 -99    27   6.100   0  1.000000  0.000000
1986 07  341.849 -99    28   6.443   0  1.000000  0.000000
1986 08 -9999999 -99     0 -999999   8  1.000000  0.000000
1986 09  346.220 -99    23   4.341   0  1.000000  0.000000
1986 10  351.270 -99    31   7.670   0  1.000000  0.000000
1986 11 -9999999 -99     0 -999999   8  1.000000  0.000000
1986 12  366.091 -99    19   8.407   0  1.000000  0.000000
1987 01 -9999999 -99     0 -999999   8  1.000000  0.000000
1987 02 -9999999 -99     0 -999999   8  1.000000  0.000000
1987 03 -9999999 -99     0 -999999   8  1.000000  0.000000
1987 04 -9999999 -99     0 -999999   8  1.000000  0.000000
1987 05 -9999999 -99     0 -999999   8  1.000000  0.000000
1987 06 -9999999 -99     0 -999999   8  1.000000  0.000000
1987 07 -9999999 -99     0 -999999   8  1.000000  0.000000
1987 08 -9999999 -99     0 -999999   8  1.000000  0.000000
1987 09 -9999999 -99     0 -999999   8  1.000000  0.000000
1987 10 -9999999 -99     0 -999999   8  1.000000  0.000000
1987 11 -9999999 -99     0 -999999   8  1.000000  0.000000
1987 12 -9999999 -99     0 -999999   8  1.000000  0.000000
1988 01 -9999999 -99     0 -999999   8  1.000000  0.000000
1988 02 -9999999 -99     0 -999999   8  1.000000  0.000000
1988 03 -9999999 -99     0 -999999   8  1.000000  0.000000
1988 04 -9999999 -99     0 -999999   8  1.000000  0.000000
1988 05 -9999999 -99     0 -999999   8  1.000000  0.000000
1988 06 -9999999 -99     0 -999999   8  1.000000  0.000000
1988 07 -9999999 -99     0 -999999   8  1.000000  0.000000
1988 08  343.387 -99    21  11.186   0  1.000000  0.000000
1988 09  345.149 -99    30   6.723   0  1.000000  0.000000
1988 10  356.190 -99    31   6.600   0  1.000000  0.000000
1988 11  364.692 -99    16   7.178   0  1.000000  0.000000
1988 12  363.832 -99    17   7.134   0  1.000000  0.000000
1989 01  366.489 -99    31   9.435   0  1.000000  0.000000
1989 02  367.858 -99    28  10.915   0  1.000000  0.000000
1989 03  358.356 -99    31   8.995   0  1.000000  0.000000
1989 04  348.778 -99    30   8.660   0  1.000000  0.000000
1989 05  345.423 -99    30   7.170   0  1.000000  0.000000
1989 06 -9999999 -99     0 -999999   8  1.000000  0.000000
1989 07 -9999999 -99     0 -999999   8  1.000000  0.000000
1989 08  349.267 -99    15   4.476   0  1.000000  0.000000
1989 09  349.642 -99    24   6.360   0  1.000000  0.000000
1989 10  357.042 -99    30   9.227   0  1.000000  0.000000
1989 11  370.262 -99    29  10.750   0  1.000000  0.000000
1989 12  367.348 -99    28  12.639   0  1.000000  0.000000
1990 01  369.477 -99    31   9.550   0  1.000000  0.000000
1990 02  361.675 -99    27   4.756   0  1.000000  0.000000
1990 03  355.491 -99    26   7.719   0  1.000000  0.000000
1990 04  355.296 -99    30   5.440   0  1.000000  0.000000
1990 05  351.050 -99    31   3.079   0  1.000000  0.000000
1990 06  349.476 -99    30   4.678   0  1.000000  0.000000
1990 07  344.598 -99    28   4.517   0  1.000000  0.000000
1990 08  345.404 -99    30   4.205   0  1.000000  0.000000
1990 09 -9999999 -99     9 -999999   8  1.000000  0.000000
1990 10 -9999999 -99     0 -999999   8  1.000000  0.000000
1990 11 -9999999 -99     0 -999999   8  1.000000  0.000000
1990 12 -9999999 -99     7 -999999   8  1.000000  0.000000
1991 01 -9999999 -99     0 -999999   8  1.000000  0.000000
