REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_hkg_surface-insitu_27_9999-9999_monthly.txt
REM03  STATION: Hok Tsui / Cape d Aguilar
REM04  CATEGORY: GAW Regional
REM05  COUNTRY/TERRITORY: Hong Kong, China
REM06  SUBMITTED BY: HKO
REM07  LATITUDE:   22 13' N
REM08  LONGITUDE: 114 15' E
REM09  ALTITUDE:       60 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: January 2011 - August 2018
REM13  UNIT: ppm
REM14  ANALYSIS: NDIR(2011-01-01 - 2018-08-01)
REM15  SAMPLING TYPE: surface-insitu
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X2007(2011-01-01 - 2018-08-01)
REM18  TABLENAME: HKG222N027iz
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-10-23
REM21
REM22  COMMENT: Dataset was made from entire historical data provided from contributor from 2018 new WDCGG website open onward
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
2017 04  410.500 -99    30   7.400   1  1.000000  0.000000
2017 05  411.200 -99    31   8.400   1  1.000000  0.000000
2017 06  396.200 -99    30   5.100   1  1.000000  0.000000
2017 07  396.600 -99    31   7.800   1  1.000000  0.000000
2017 08  392.800 -99    31   6.500   1  1.000000  0.000000
2017 09  396.600 -99    30   8.300   1  1.000000  0.000000
2017 10  403.800 -99    31   7.800   1  1.000000  0.000000
2017 11  411.800 -99    25   6.500   1  1.000000  0.000000
2017 12  416.500 -99    27   6.000   1  1.000000  0.000000
2018 01  418.400 -99    31   6.600   1  1.000000  0.000000
2018 02  418.700 -99    28   4.800   1  1.000000  0.000000
2018 03  412.500 -99    31   4.800   1  1.000000  0.000000
2018 04  410.000 -99    30   7.900   1  1.000000  0.000000
2018 05  402.300 -99    31   5.300   1  1.000000  0.000000
2018 06  400.400 -99    28   7.700   1  1.000000  0.000000
2018 07  397.600 -99    31   4.400   1  1.000000  0.000000
2018 08  397.900 -99    31   7.900   1  1.000000  0.000000
