REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_cdl_surface-insitu_20_9999-9999_monthly.txt
REM03  STATION: Candle Lake
REM04  CATEGORY: GAW Regional
REM05  COUNTRY/TERRITORY: Canada
REM06  SUBMITTED BY: ECCC
REM07  LATITUDE:   53 59' N
REM08  LONGITUDE: 105 07' W
REM09  ALTITUDE:      591 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: August 2002 - December 2010
REM13  UNIT: ppm
REM14  ANALYSIS: NDIR(2002-08-01 - 2010-12-01)
REM15  SAMPLING TYPE: surface-insitu
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X2007(2002-08-01 - 2010-12-01)
REM18  TABLENAME: CDL453N020iz
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-10-25
REM21
REM22  COMMENT: Dataset was made from entire historical data provided from contributor from 2018 new WDCGG website open onward
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
2009 05  391.780 -99  1189   1.616   1  1.000000  0.000000
2009 06  385.950 -99  1012   3.795   1  1.000000  0.000000
2009 07  374.920 -99   820   5.457   1  1.000000  0.000000
2009 08  372.250 -99   892   4.641   1  1.000000  0.000000
2009 09  380.090 -99   883   3.581   1  1.000000  0.000000
2009 10  387.500 -99  1117   4.740   1  1.000000  0.000000
2009 11  392.630 -99   897   2.238   1  1.000000  0.000000
2009 12  394.450 -99  1165   1.785   1  1.000000  0.000000
2010 01  396.180 -99  1105   2.513   1  1.000000  0.000000
2010 02  397.110 -99  1072   2.229   1  1.000000  0.000000
2010 03  396.900 -99  1165   2.108   1  1.000000  0.000000
2010 04  394.610 -99   908   1.468   1  1.000000  0.000000
2010 05  391.550 -99  1131   1.621   1  1.000000  0.000000
2010 06  384.870 -99   970   4.159   1  1.000000  0.000000
2010 07  378.790 -99  1107   4.628   1  1.000000  0.000000
2010 08  378.840 -99   823   4.060   1  1.000000  0.000000
2010 09  384.660 -99   917   5.685   1  1.000000  0.000000
2010 10  392.560 -99  1192   4.060   1  1.000000  0.000000
2010 11  396.470 -99   924   3.706   1  1.000000  0.000000
2010 12  400.010 -99  1096   2.722   1  1.000000  0.000000
