REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_mlo_surface-flask_2_3001-9999_monthly.txt
REM03  STATION: Mauna Loa (HI)
REM04  CATEGORY: GAW Global
REM05  COUNTRY/TERRITORY: United States of America
REM06  SUBMITTED BY: NOAA
REM07  LATITUDE:   19 32' N
REM08  LONGITUDE: 155 35' W
REM09  ALTITUDE:     3397 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: August 1969 - December 2017
REM13  UNIT: ppm
REM14  ANALYSIS: NDIR(1969-08-01 - 2017-12-01)
REM15  SAMPLING TYPE: surface-flask
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X2007(1969-08-01 - 2017-12-01)
REM18  TABLENAME: MLO519N002f1
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-09-25
REM21
REM22  COMMENT: Dataset was made from entire historical data provided from contributor from 2018 new WDCGG website open onward
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
1969 08  322.510 -99 -9999 -999999 -99  1.000000  0.000000
1969 09  321.360 -99 -9999 -999999 -99  1.000000  0.000000
1969 10  320.740 -99 -9999 -999999 -99  1.000000  0.000000
1969 11  321.980 -99 -9999 -999999 -99  1.000000  0.000000
1969 12  323.780 -99 -9999 -999999 -99  1.000000  0.000000
1970 01  325.130 -99 -9999 -999999 -99  1.000000  0.000000
1970 02  325.540 -99 -9999 -999999 -99  1.000000  0.000000
1970 03  325.670 -99 -9999 -999999 -99  1.000000  0.000000
1970 04  326.580 -99 -9999 -999999 -99  1.000000  0.000000
1970 05  327.680 -99 -9999 -999999 -99  1.000000  0.000000
1970 06  327.300 -99 -9999 -999999 -99  1.000000  0.000000
1970 07  326.130 -99 -9999 -999999 -99  1.000000  0.000000
1970 08  324.910 -99 -9999 -999999 -99  1.000000  0.000000
1970 09  322.980 -99 -9999 -999999 -99  1.000000  0.000000
1970 10  322.650 -99 -9999 -999999 -99  1.000000  0.000000
1970 11  324.040 -99 -9999 -999999 -99  1.000000  0.000000
1970 12  325.540 -99 -9999 -999999 -99  1.000000  0.000000
1974 05  333.160 -99    14   0.340 ...  1.000000  0.000000
1974 06  332.110 -99    26   0.460 ...  1.000000  0.000000
1974 07  331.110 -99    24   0.490 ...  1.000000  0.000000
1974 08  329.090 -99    27   0.640 ...  1.000000  0.000000
1974 09  327.270 -99    24   0.630 ...  1.000000  0.000000
1974 10  327.300 -99    24   0.270 ...  1.000000  0.000000
1974 11  328.270 -99    27   0.510 ...  1.000000  0.000000
1974 12  329.630 -99    28   0.520 ...  1.000000  0.000000
1975 01  330.750 -99    29   0.500 ...  1.000000  0.000000
1975 02  331.460 -99    26   0.470 ...  1.000000  0.000000
1975 03  331.880 -99    18   0.300 ...  1.000000  0.000000
1975 04  333.180 -99    25   0.500 ...  1.000000  0.000000
1975 05  333.950 -99    28   0.350 ...  1.000000  0.000000
1975 06  333.480 -99    26   0.510 ...  1.000000  0.000000
1975 07  332.040 -99    24   0.780 ...  1.000000  0.000000
1975 08  329.920 -99    24   0.950 ...  1.000000  0.000000
1975 09  328.480 -99    23   0.750 ...  1.000000  0.000000
1975 10  328.450 -99    12   0.390 ...  1.000000  0.000000
1975 11  329.240 -99    19   0.430 ...  1.000000  0.000000
1975 12 -9999999 -99 -9999 -999999 *..  1.000000  0.000000
1976 01  331.650 -99    20   0.290 ...  1.000000  0.000000
1976 02  332.760 -99    22   0.550 ...  1.000000  0.000000
1976 03  333.540 -99    20   0.840 ...  1.000000  0.000000
1976 04  334.660 -99    19   0.720 ...  1.000000  0.000000
1976 05  334.770 -99    22   0.610 ...  1.000000  0.000000
1976 06  334.210 -99    17   0.220 ...  1.000000  0.000000
1976 07  332.850 -99    16   0.680 ...  1.000000  0.000000
1976 08  330.720 -99    23   0.750 ...  1.000000  0.000000
1976 09  328.880 -99    13   0.990 ...  1.000000  0.000000
1976 10  328.710 -99    20   0.560 ...  1.000000  0.000000
1976 11  330.230 -99    25   0.520 ...  1.000000  0.000000
1976 12  331.680 -99    20   0.690 ...  1.000000  0.000000
1977 01  332.660 -99    24   0.460 ...  1.000000  0.000000
1977 02  333.180 -99    19   0.280 ...  1.000000  0.000000
1977 03  334.970 -99    23   0.560 ...  1.000000  0.000000
