sitename,lon,lat,file,2000-01-15,2000-02-15,2000-03-15,2000-04-15,2000-05-15,2000-06-15,2000-07-15,2000-08-15,2000-09-15,2000-10-15,2000-11-15,2000-12-15,2001-01-15,2001-02-15,2001-03-15,2001-04-15,2001-05-15,2001-06-15,2001-07-15,2001-08-15,2001-09-15,2001-10-15,2001-11-15,2001-12-15,2002-01-15,2002-02-15,2002-03-15,2002-04-15,2002-05-15,2002-06-15,2002-07-15,2002-08-15,2002-09-15,2002-10-15,2002-11-15,2002-12-15,2003-01-15,2003-02-15,2003-03-15,2003-04-15,2003-05-15,2003-06-15,2003-07-15,2003-08-15,2003-09-15,2003-10-15,2003-11-15,2003-12-15,2004-01-15,2004-02-15,2004-03-15,2004-04-15,2004-05-15,2004-06-15,2004-07-15,2004-08-15,2004-09-15,2004-10-15,2004-11-15,2004-12-15,2005-01-15,2005-02-15,2005-03-15,2005-04-15,2005-05-15,2005-06-15,2005-07-15,2005-08-15,2005-09-15,2005-10-15,2005-11-15,2005-12-15,2006-01-15,2006-02-15,2006-03-15,2006-04-15,2006-05-15,2006-06-15,2006-07-15,2006-08-15,2006-09-15,2006-10-15,2006-11-15,2006-12-15,2007-01-15,2007-02-15,2007-03-15,2007-04-15,2007-05-15,2007-06-15,2007-07-15,2007-08-15,2007-09-15,2007-10-15,2007-11-15,2007-12-15,2008-01-15,2008-02-15,2008-03-15,2008-04-15,2008-05-15,2008-06-15,2008-07-15,2008-08-15,2008-09-15,2008-10-15,2008-11-15,2008-12-15,2009-01-15,2009-02-15,2009-03-15,2009-04-15,2009-05-15,2009-06-15,2009-07-15,2009-08-15,2009-09-15,2009-10-15,2009-11-15,2009-12-15,2010-01-15,2010-02-15,2010-03-15,2010-04-15,2010-05-15,2010-06-15,2010-07-15,2010-08-15,2010-09-15,2010-10-15,2010-11-15,2010-12-15,2011-01-15,2011-02-15,2011-03-15,2011-04-15,2011-05-15,2011-06-15,2011-07-15,2011-08-15,2011-09-15,2011-10-15,2011-11-15,2011-12-15,2012-01-15,2012-02-15,2012-03-15,2012-04-15,2012-05-15,2012-06-15,2012-07-15,2012-08-15,2012-09-15,2012-10-15,2012-11-15,2012-12-15,2013-01-15,2013-02-15,2013-03-15,2013-04-15,2013-05-15,2013-06-15,2013-07-15,2013-08-15,2013-09-15,2013-10-15,2013-11-15,2013-12-15,2014-01-15,2014-02-15,2014-03-15,2014-04-15,2014-05-15,2014-06-15,2014-07-15,2014-08-15,2014-09-15,2014-10-15,2014-11-15,2014-12-15,2015-01-15,2015-02-15,2015-03-15,2015-04-15,2015-05-15,2015-06-15,2015-07-15,2015-08-15,2015-09-15,2015-10-15,2015-11-15,2015-12-15,2016-01-15,2016-02-15,2016-03-15,2016-04-15,2016-05-15,2016-06-15,2016-07-15,2016-08-15,2016-09-15,2016-10-15,2016-11-15,2016-12-15,2017-01-15,2017-02-15,2017-03-15,2017-04-15,2017-05-15,2017-06-15,2017-07-15,2017-08-15,2017-09-15,2017-10-15,2017-11-15,2017-12-15
 Arembepe,-38.17,-12.77,abp312s0.dat,367.65204,367.08268,367.68289,367.23472,367.85545,368.32,368.89326,368.73363,369.17327,369.40118,368.89725,368.36549,367.73982,367.45766,368.31776,368.74716,369.50214,370.15282,370.19019,370.32351,370.76615,371.07058,370.22919,369.6265,370.23841,370.35492,370.0745,370.65183,371.53164,372.00405,372.53901,372.70889,372.87624,372.81006,372.40976,371.88188,371.81852,372.27973,372.95732,373.50022,373.97866,374.48818,374.7408,375.25487,375.24977,375.22384,374.81816,374.18841,375.72384,375.07791,375.5691,375.60603,376.10671,376.36393,376.97839,376.88646,376.75942,376.53005,376.29966,375.84364,376.30426,376.94184,377.59382,377.57616,377.83361,378.84279,378.86831,379.31206,379.80377,379.49518,379.00454,378.88979,378.65373,379.18525,379.9554,379.90318,380.04929,380.16276,380.35584,380.92263,380.9256,380.93695,380.74597,380.17359,380.38479,381.2591,381.0954200000001,381.06958,381.6699,381.98041,382.85306,382.72821,383.23563,383.309,383.1895,382.45236,382.73854,383.6992,383.30778,383.81561,383.91043,384.19766,384.49542,384.67889,385.11743,384.9511,383.92592,384.17985,384.25421,384.18421,384.60284,384.91088,385.19592,386.00274,386.26546,386.50265,386.38205,386.49901,385.75576,385.29254,385.62666,385.83725,386.99681,386.87076,387.51611,387.9226,388.0841,388.4086,388.58678,389.24295,388.43395,388.21783,387.88366,387.86061,388.67278,388.58433,388.8729,389.98749,389.85259,390.32,390.15591,390.42783,389.93973,389.66764,389.39127,389.78679,390.25588,390.6622,391.26043,391.96448,392.4609,392.3445200000001,392.8697,392.58896,392.77962,391.82397,392.5683,392.31512,393.18547,393.81714,394.38551,395.13464,395.32394,395.73997,395.67825,395.68229,395.47478,395.60508,395.0464,394.92836,395.36742,395.80083,396.18663,396.40444,396.74685,396.97008,397.32005,397.08195,396.83329,396.47447,395.91015,396.74385,396.81114,398.21572,398.50187,398.56153,399.06497,399.31145,399.62312,399.7327,399.58357,398.63339,400.40814,399.52877,399.73191,400.14554,401.37046,402.29093,402.78674,403.0042,403.01619,403.77304,402.6005,402.19355,401.71886,402.29014,403.0772,403.05973,403.57519,404.75774,404.18791,404.89406,404.7697,405.33071,404.93291,404.43242
 Alert,-62.33,82.5,alt482n1.dat,373.83032,375.77708,375.54052,375.54349,375.95388,373.06800000000004,366.74837,361.58244,362.45683,366.86854,370.3039,373.18192,375.58877,375.94134,376.25196,377.32648,377.38224,374.68056,367.7503,362.36699,363.70021,368.14529,373.23483,375.08868,377.7924,377.34036,378.55736,378.96019,378.64791,375.8519,370.37235,364.4643,365.9261,370.73749,375.30644,377.82866,378.97896,381.19484,381.71918,381.30462,381.87459,379.53156,372.51963,367.83714,369.32243,372.91777,377.85349,380.55194,382.6973,382.53114,382.72489,383.59014,383.35365,381.74988,374.71141,369.44213,369.30823,373.87756,378.6973,382.25032,384.62377,384.6444,384.81699,385.93195,385.39432,383.24282,376.57993,370.86752,371.56814,376.45106,381.4995,385.29446,385.20855,385.96033,387.13167,387.82789,388.57295,386.79084,379.19107,373.8029,374.97288,379.26144,384.22592,387.18653,388.86842,389.04036,390.10466,390.18365,389.5073,386.83685,378.76147,373.5807,375.75723,380.65706,385.04906,389.59869,390.51098,391.60121,392.7582,393.03789,392.4632,388.88707,382.4007,377.13867,378.23516,381.86356,388.06823,389.97454,392.7314,392.3476,392.99938,394.1241,393.7351,391.44728,384.02205,377.86792,378.81918,383.47358,387.39742,391.27082,392.95136,393.61487,394.72277,395.62566,395.27245,392.72048,386.00911,380.96361,382.87957,387.56136,391.77274,394.87265,396.57514,397.33617,398.02145,398.60178,398.18115,394.68537,387.77551,381.44711,383.18502,388.02001,393.74412,397.31734,398.44282,398.95537,399.73255,400.57109,400.40945,396.42138,388.87002,383.82001,386.51499,390.72009,396.45628,398.65903,401.0197,402.12888,401.83758,402.66081,403.03066,400.38661,393.89098,388.35473,388.95285,394.00498,398.94046,402.41278,402.69797,404.54243,405.45163,405.27593,405.08644,402.57868,396.09909,389.63181,390.07046,394.73397,400.17164,404.3956,405.22794,406.81471,407.61734,407.44498,406.83421,403.70802,396.53128,391.42804,392.28605,396.76929,402.87603,406.80371,408.01286,409.0766,409.76534,410.05554,409.56083,406.59664,399.38101,393.5885,395.79553,401.22977,405.65248,410.73779,412.00768,412.38763,413.74,414.17204,413.92274,410.67094,402.63712,397.35832,398.3645,403.33244,408.81874,411.5421
 Amsterdam Island,77.53,-37.8,ams137s1.dat,366.1071,366.11012,366.40489,366.76918,366.96647,367.4629,367.85821,368.03723,367.96826,367.82486,367.33429,367.16028,367.02395,366.98516,367.2007,367.55449,368.07582,368.57763,368.90744,369.49481,369.62991,369.64921,369.48663,369.1793,369.01803,368.78756,369.09748,369.41734,369.94313,370.47738,371.12823,371.63086,371.96121,371.80493,371.42049,371.47367,371.37966,371.53185,371.68147,372.07795,372.61148,373.10188,373.54344,374.1488,374.25003,374.14479,373.73800000000006,373.44868,373.50721,373.52272,373.70628,374.17439,374.59724,375.15583,375.68909,376.18808,375.90534,375.8891,375.42157,375.07396,374.97151,375.13667,375.42795,375.84273,376.3822,377.05735,377.65165,378.05192,378.35899,378.11228,377.82529,377.63864,377.62983,377.73378,377.93437,378.3906,378.93862,379.38825,379.61733,379.77824,379.70138,379.60935,379.34116,379.23103,379.22559,379.58456,379.41878,379.8086,380.29239,380.88587,381.32104,381.73236,382.01397,382.01932,381.6089,381.46367,381.37549,381.39097,381.72517,382.07954,382.37413,382.95527,383.4421200000001,383.61241,383.71142,383.50266,382.9725,382.83787,382.60728,382.97608,383.21497,383.44588,383.78849,384.28663,384.82193,385.22758,385.16667,385.07453,384.80904,384.47001,384.73698,384.77633,384.82121,385.08722,385.66283,386.34791,386.86619,387.66765,387.68165,387.58878,387.38459,387.06817,386.94695,386.85117,386.86043,387.24946,387.50793,388.26425,388.75118,388.98518,389.14743,389.07144,388.91711,388.66673,388.40316,388.43285,388.65587,389.26894,389.88536,390.52771,391.08164,391.40743,391.65097,391.43526,390.92256,391.04678,390.88941,390.93927,391.3496,391.99766,392.66353,393.09316,393.87788,394.353,394.389,394.05472,393.9993,393.74325,393.6908,393.79063,394.02823,394.38112,394.6643,395.05499,395.4875,395.90363,395.90383,395.99644,395.37024,395.36486,394.90892,394.96887,395.4804,396.04373,396.71836,397.39732,397.84549,398.46104,398.65004,398.53659,398.14031,397.74465,397.9679,398.10778,398.13129,398.7769,399.37042,400.32764,401.05413,401.61959,401.6514,401.49482,401.15329,400.91114,400.68009,400.6525,400.87107,401.41406,402.10024,402.47777,403.16136,403.65008,403.80709,403.5543,403.44184,403.21908
 Anmyeon-do,126.33,36.53,amy236n1.dat,383.39937,382.9184,387.33121,386.66936,390.18283,390.31569,381.11545,379.83374,389.57936,392.92709,390.87329,387.00976,386.43784,392.48596,390.81386,393.02019,386.16458,385.73958,379.2002700000001,383.99914,378.8255,396.22301,395.11206,387.18025,388.36003,392.015,391.9584,397.01804,394.65629,387.89926,388.08907,385.03145,384.88171,391.43921,389.89465,390.67143,392.59013,395.99981,397.43129,397.88295,395.4212,395.62632,395.67047,390.31054,397.53251,399.38092,400.59598,394.80763,396.29702,398.39279,397.83886,399.47551,396.75276,393.53126,393.24962,384.93061,395.18197,399.14937,406.60216,400.24688,395.76023,394.62978,400.29088,401.00681,400.80916,400.17327,410.01636,397.98918,401.06766,415.16742,411.79481,396.50046,405.8303,407.24300000000005,406.79253,406.55886,408.34196,403.48762,395.83986,394.12966,394.00300000000004,406.27466,402.54687,405.50844,407.07688,416.92989,409.94294,414.20391,405.36732,401.73045,405.24363,395.96658,404.17587,411.92878,408.33221,405.59968,402.94143,404.64516,411.5105,410.70738,406.67772,402.52984,403.14256,393.00398,392.24752,406.3604,413.02605,405.53231,407.21116,416.63184,407.17836,419.02164,408.69834,403.73584,401.89142,409.73636,408.0502,402.13921,403.74955,407.30144,406.89719,413.21683,411.62333,416.10483,409.87472,415.71021,405.16446,407.07251,408.93181,411.52837,411.60855,409.23205,404.88486,423.90087,416.73341,417.26243,415.01073,414.28744,405.8241,408.26685,398.81674,416.78251,415.78102,411.1793,411.55546,417.60167,416.15599,419.77016,425.1927,416.33923,415.83026,407.4506,416.22293,425.71328,417.75475,416.42811,420.23009,418.87208,422.26157,422.96754,423.94162,427.00866,409.63342,417.2232,408.65468,410.19337,419.85829,423.99648,422.1274,426.50136,430.92843,437.57004000000006,422.66239,423.16128,413.80938,410.5393,419.65107,421.86349,423.91111,417.55952,422.32467,427.29048,433.86882,434.60156,425.53237,420.16021,417.97711,419.04789,424.44729,435.44525,431.76531,434.16134000000005,421.01814,425.42408,437.09305,431.21117,425.80077,419.9289,421.48936,432.42492,427.44173,435.96592,436.10812,433.82094000000006,430.79801,429.98735,434.28052,433.96055,429.80496,431.34444,433.60316,436.9875,431.8115,440.34579,430.94935,429.32338
 Ascension Island,-14.4,-7.97,asc107s0.dat,367.44279,367.06642,367.21563,366.0954,367.85271,369.02906,369.45334,369.22918,368.98153,369.17723,368.32754,367.8037,367.51153,367.72172,368.26744,368.08621,369.29935,370.3105,370.43414,370.80492,370.56592,371.01825,370.34258,369.67656,369.44883,370.15046,369.3747,369.87773,370.84435,371.85068,372.56457,372.8203,373.32976,372.83718,372.50225,372.13939,372.07836,372.49882,372.80572,373.21981,373.49912,375.01199,375.37413,375.45618,375.4741,375.20242,374.75873,374.49264,374.53443,375.21016,375.65414,374.85553,375.86212,377.14327,377.66798,377.30843,377.16783,376.84073,376.26622,375.90059,375.82117,376.1648,376.77621,376.90473,377.21489,378.96892,379.75734,379.34817,379.75959,379.44538,378.87995,378.53874,378.8847,378.70739,379.36607,379.13109,379.88127,381.0357,381.04111,381.14793,381.42136,381.04714,380.44908,380.31058,380.23686,380.35071,380.56428,380.45741,381.09696,382.29948,383.12899,383.28435,383.47728,383.17297,382.92489,382.3637700000001,382.66752,382.59997,382.10003,381.88553,382.79139,384.23939,384.81809,384.77193,384.89411,384.56492,383.91372,383.75898,384.05179,384.2834,383.95362,383.93325,384.85974,385.78038,386.66948,386.78999,386.4502700000001,386.60847,385.73286,385.26789,385.62017,386.0835,386.48027,386.34788,387.32943,388.32717,388.7346,389.12546,388.80296,388.87459,388.28186,388.01454,387.96931,387.51579,387.99143,388.03011,389.05043,390.09392,390.87617,390.6349,390.7911,390.28359,389.68385,389.47599,389.58664,389.72913,390.11007,390.95528,391.61902,392.10916,392.60753,392.67834,393.11737,392.8903,392.57985,392.08145,391.91626,391.80732,392.70433,393.30186,393.89002,394.93537,395.51794,395.93119,395.55598,395.83852,395.26587,394.86523,395.18127,395.22673,395.56104,395.32071,395.70266,396.88282,397.37031,397.65181,397.67066,397.02619,396.79598,396.17304,395.6499,396.10677,396.4646,397.66959,397.81898,398.69265,399.61675,400.01978,399.97362,399.94167,399.45944,399.11561,399.52548,399.44838,400.22662,400.13771,401.11464,402.3994,403.13983,403.4387200000001,402.95202,403.12234,402.35117,401.94445,402.11043,403.12551,402.6423,402.28132,403.6579,405.16051,406.1987,406.01552,405.59904,405.15052,404.61763,404.19202
 Assekrem,5.63,23.27,ask123n0.dat,371.02393,372.59664,372.7238200000001,372.94405,372.47728,371.47527,369.22828,366.53498,366.35756,367.15789,368.8935,370.64179,372.09821,373.34286,373.3151,374.41286,373.68771,372.70202,370.06533,367.92443,367.99654,368.81058,370.06859,372.24501,373.90683,374.58341,375.59966,376.26477,375.59439,374.49281,372.50403,370.60899,369.86606,370.8305,372.70994,374.12805,375.86218,376.67801,378.06301,378.32596,378.3266,377.51216,375.53097,372.91154,372.44905,372.89632,374.75381,376.96134,377.82625,379.42413,380.77676,380.40977,380.07952,379.40204,377.01923,374.62419,373.56402,374.65649,376.96582,378.26571,380.23968,380.8279,381.69933,382.35847,382.4699700000001,381.21527,378.30009,376.41221,375.98459,376.64091,379.07125,380.90043,382.70891,383.73785,384.42228,384.60546,384.60633,383.90709,380.63276,379.75938,378.48167,379.04392,381.48763,383.11712,384.11602,385.0013,386.35961,386.40064,386.32567,385.05605,382.48024,380.75724,380.37286,380.99018,383.18482,385.07523,386.91377,387.69969,388.14388,389.08052,388.42793,387.38188,385.03876,382.30151,381.88254,382.46508,383.98081,386.55824,387.81256,388.60383,389.51923,390.40452,390.37789,389.09502,386.73411,383.94245,383.20708,384.12015,386.53298,387.75624,389.58772,390.11674,391.50438,391.69294,392.13727,391.3804,387.74632,386.2904,385.8612,386.56977,388.47671,390.78377,392.65602,394.01135,393.99276,395.07673,394.22794,393.19965,390.90187,387.99565,387.78567,388.71,390.67844,393.42398,394.32777,395.1454700000001,396.78148,396.31373,396.26536,394.96168,392.74601,390.62521,389.88626,390.96753,392.86105,395.6765,397.43431,397.96493,398.20492,399.32461,399.13703,398.0223,395.4224200000001,392.4091,392.56463,394.36101,396.02906,398.49791,399.2508,400.83876,401.45736,401.53819,401.16449,400.07028,397.51557,395.34669,395.01407,395.80502,397.33906,400.41175,401.31726,401.92317,403.58116,403.99728,403.24999,401.6844,399.11392,397.6094,396.51,397.52616,400.4279,402.78726,403.94362,404.75396,406.69661,405.93982,406.12355,405.17308,401.99337,399.55339,399.74105,401.26094,403.02728,405.57276,407.80733,408.30247,409.16362,409.7397,409.39936,407.88553,405.30288,402.76881,402.37312,404.15532,405.78702,407.74015
 St. Croix,-64.75,17.75,avi417n0.dat,371.31549,370.75463,372.42024,372.65872,372.51541,372.10833,369.86437,367.48702,366.67311,367.31674,368.78802,369.90092,370.9055,372.28657,372.6185200000001,373.98108,373.52738,373.41221,371.0507,368.86224,368.03717,367.95231,370.30005,371.72413,373.26154,373.82657,374.79558,375.7565,375.62562,375.09325,372.92531,371.18187,370.24895,370.50946,372.00568,373.74833,374.95879,375.94538,376.73808,378.20014,378.40949,378.37462,375.93482,373.99752,372.58773,372.97717,374.45538,376.49434,377.73687,378.91677,379.89471,380.26081,380.60802,379.88604,378.0117,375.72597,374.14793,374.76697,376.79684,378.42523,379.79186,381.09624,381.42668,381.91225,382.24825,381.9945,379.70857,377.39472,376.5944,376.79891,378.54846,381.16539,382.37934,383.01313,383.64035,384.36492,384.5953,384.29606,381.80189,379.9659,379.25103,378.87524,380.84394,382.62413,383.94454,384.285,385.41845,386.31231,386.21857,385.45349,383.26252,381.42531,380.51105,380.29888,382.93199,384.56242,385.82805,387.04183,388.43261,389.03943,388.6472,387.8219,385.71862,383.83238,382.50562,382.2557,384.33945,386.35539,387.20603,387.91503,389.70553,390.26196,390.21805,389.50774,387.36378,384.99039,383.60505,384.06282,385.44234,387.59812,389.38248,390.00213,390.83749,392.40276,392.28552,391.76192,389.59272,387.46931,386.14194,386.9753,389.12427,391.62979,392.03989,393.26731,394.08746,394.50981,394.52565,393.54531,391.77583,389.96729,388.50322,388.64964,390.07585,392.41766,394.1115,394.59596,395.39774,396.30363,396.14295,395.87315,393.39418,391.50205,390.73112,390.95018,393.10355,395.15781,396.54734,397.01367,398.53537,399.22286,399.38668,398.95135,396.86632,393.90256,393.09938,393.52334,395.63212,397.73338,398.86174,399.37021,399.87254,401.47468,401.47049,400.7362,398.37998,395.93957,395.06276,395.25944,397.04458,399.54975,400.374,401.28833,402.29209,403.35962,403.28546,402.81101,400.43451,398.25763,397.36234,397.88013,399.96742,401.88179,403.15476,403.79874,405.64258,405.98807,406.3719,405.62992,403.04259,401.00521,400.12039,400.69065,402.61692,405.37567,407.17862,406.91701,408.79808,409.89404,409.90388,408.94517,405.85545,403.81445,403.16698,403.59094,405.03766,407.37831
 Serreta (Terceira),-27.38,38.77,azr638n0.dat,372.66291,372.65703,373.13558,374.13885,372.68735,371.24241,367.28589,364.9607,365.40558,367.09063,369.49967,371.86823,372.9162,374.31065,374.98874,375.6473,374.73327,371.99957,369.97619,367.16569,365.92589,369.24717,372.1625,373.63372,374.94855,375.94722,377.22214,376.49219,376.27725,374.14735,372.11436,368.62268,367.96811,370.62634,373.72939,375.65245,376.73354,377.73181,378.75088,380.02498,379.67807,377.24769,374.65675,370.97497,371.41214,373.80945,376.64876,377.98181,378.3651,380.7524,381.61926,381.73547,380.48142,379.1067,375.6182,371.2349,372.16785,374.55198,377.79551,380.13712,381.19795,382.50469,382.89055,383.59358,383.49189,381.45905,377.10436,373.23989,374.78309,377.13783,380.72467,382.38507,383.35318,384.89519,385.91283,385.88527,385.32828,383.59468,380.349,377.37857,377.14824,379.62809,382.44788,384.26896,385.54441,385.97098,387.1223,387.94879,386.85856,383.8377,380.93585,378.06039,378.5358,381.05703,383.89955,386.07151,387.36634,388.69819,389.95265,390.65795,389.54173,387.48659,382.75373,380.95124,380.75185,382.73778,385.64342,387.81622,388.64429,390.06429,390.7482,391.79585,391.3757700000001,388.76434,384.59984,381.65951,380.67906,384.47304,387.34949,390.05396,391.61398,392.85552,393.4236,393.95652,392.85774,390.81127,387.57102,384.03552,384.56841,387.99559,390.5636,392.81318,394.11263,394.89314,396.11239,396.38524,395.57036,393.35838,389.90218,387.61547,386.15189,389.13774,393.07619,393.56589,394.94107,395.97519,397.31886,397.47744,397.30532,395.30857,390.52111,387.40609,388.59699,391.54489,395.02291,396.88902,397.89375,399.17976,400.61958,401.33062,400.26728,398.20903,394.0805,391.21314,390.78435,394.478,397.41246,400.08387,400.91056,401.82786,402.29911,402.77193,401.77823,399.94685,395.30513,394.18001,392.55084,395.44926,399.53223,400.61923,402.04331,403.08986,404.46103,404.73626,404.03279,401.70774,398.92874,393.57942,395.08918,398.32125,401.3915,404.2917,405.32032,406.57134,407.4497,408.23279,406.38648,403.51049,401.04287,398.34276,398.33723,401.5408,405.13708,407.91,408.59508,409.73999,411.23907,411.27307,410.50956,407.89289,402.74355,400.13689,400.88035,403.83704,406.43456,408.50881
 Baltic Sea,16.67,55.5,bal655n0.dat,377.40858,378.2883,377.4142,378.94785,373.39653,369.6761,364.58141,364.71628,366.90725,381.33602,380.46617,382.06094,381.27354,379.24072,382.22005,380.81568,374.70084,370.14743,366.36851,366.12904,370.15494,375.89556,375.2457,378.52695,382.17113,380.49972,381.85128,382.33501,375.79014,372.27455,367.87739,365.93946,368.99094,374.44898,382.16435,382.04459,384.60692,386.77853,386.06394,385.21583,380.88663,373.63652,369.87386,369.97951,374.56781,377.26731,392.95972,386.82006,385.63367,385.87849,387.37225,388.92485,381.09728,377.46943,374.41443,371.29564,373.29039,380.64693,384.13628,386.76045,386.61322,390.44616,387.64512,387.31148,382.73004,378.73193,373.00191,372.94356,376.90115,382.6691,388.53165,387.98369,393.22869,393.36676,392.64432,391.51218,386.72375,383.51497,377.13896,375.7349,380.99074,384.86987,391.58363,390.12206,388.77729,395.84981,394.04011,390.94297,387.16869,381.14295,379.30193,378.11056,380.84283,387.3196,390.24182,392.95107,395.19183,395.03162,393.98545,396.18954,389.63245,384.0951,380.45863,379.26153,383.27146,386.1282,390.42361,395.76064,396.77956,400.58114,397.70346,397.25675,390.7856,385.37121,381.26807,378.63987,381.52657,388.86911,397.74063,397.7145,399.38331,402.51843,399.5107,400.20613,392.78134,387.17856,384.4091,387.84812,386.90979,393.80969,398.97935,400.08867,400.79758,402.13973,401.58309,399.2132,392.02836,388.70212,386.15824,384.86588,389.87715,396.04175,405.99779,399.20551,400.94298,400.76341,402.39558,401.1342,396.56908,392.61312,388.68948,387.65476,390.7748,398.51235,405.02008,405.37436,405.18321,409.22509,405.24907,405.93586,397.342,395.38174,391.30053,388.96286,392.56929,400.70145,402.18953,406.69169,408.43341,412.87439,410.5925,406.4668,400.73003,396.4795,389.39778,391.15024,398.70196,406.92923,415.38302,404.78082,409.70184,415.14364,412.48495,408.50497,405.02113,399.48951,393.27444,392.71623,394.22081,402.10708,408.96708,409.58295,411.81096,413.95586,415.28887,409.79526,405.22605,401.37762,397.97788,397.1268,401.85027,408.53198,414.21168,412.83385,415.25997,419.90829,420.06592,416.32424,409.66319,405.25364,401.15361,401.73056,404.29359,409.50955,412.16542,413.5122
 Bering Island,165.98,55.2,ber255n0.dat,374.09295,374.82975,375.32239,376.57461,375.60324,371.642,366.21254,362.24621,363.40576,368.32134,371.66793,372.86367,374.73073,376.1049,376.98363,378.36831,377.36187,372.62478,365.60549,363.13481,364.44186,370.43996,373.74563,374.7126,376.20918,377.75774,379.41884,379.66989,379.19861,373.75494,368.73404,364.56884,367.93607,371.99215,374.70035,377.65186,378.21467,379.49072,380.67784,382.1209,382.27646,377.68335,372.52757,369.76708,369.55829,374.82733,378.6844,380.32653,380.77243,382.03347,383.4508,384.23084,383.74754,378.96688,373.25456,365.56562,372.08578,377.03497,381.56178,381.66414,382.51324,383.70487,385.02386,386.00893,385.92171,380.82793,375.82725,368.43389,373.54379,379.63173,382.43335,384.06832,384.92199,387.4656700000001,388.36477,388.76821,389.09065,384.25025,379.42067,376.24341,376.73934,381.88364,384.46332,387.20222,388.33325,389.28146,389.5449,390.03696,389.66976,385.2302,379.32637,374.49144,377.34793,382.72893,386.3214200000001,388.11628,389.98315,390.77856,392.19795,393.4062,392.95439,387.53898,379.38153,377.17659,379.5916,383.85921,387.91588,389.93469,391.21739,392.0389,394.14046,394.88976,394.03091,388.30185,381.66458,377.55293,379.36112,384.69894,389.39607,391.17414,392.28433,393.60049,395.29262,396.64237,396.46,390.21057,384.55255,381.7316,384.9310200000001,389.22552,393.22232,395.48374,395.80339,396.88117,397.71074,398.74425,398.05198,393.7872,386.0635,382.76237,385.73367,391.6882,394.75283,396.71978,397.59948,398.48613,399.45816,400.32636,400.7394,394.3709,389.76144,385.20523,387.71881,393.45783,397.21304,399.08191,399.46966,400.94112,403.00528,402.93785,402.11182,398.22975,388.3678,387.34643,389.79511,395.89594,399.50132,401.3385,402.36177,403.94263,404.76091,405.88621,404.47025,400.82459,395.53284,388.73102,390.83997,396.93239,401.51706,402.93991,404.18588,405.12055,407.6364,407.84117,407.84918,403.66204,396.42889,391.88968,394.37361,399.52129,404.17528,406.29454,407.56442,408.81752,409.82509,410.59626,409.87498,405.49683,401.61112,397.75943,397.47814,404.94328,407.25811,410.65365,410.97548,411.77648,412.88551,414.07099,413.37108,408.61621,402.65109,398.60792,399.61134,405.18685,409.67815,411.70436
