"","sitecode","lon","lat","file","records"
"28","BRW","-156.6114","71.323","co2_brw_surface-insitu_1_allvalid.nc","342535"
"29","BSC","28.6647","44.1776","co2_bsc_surface-flask_1_representative.nc","688"
"30","CBA","-162.72","55.21","co2_cba_surface-flask_4_representative.nc","457"
"31","CBY","-105.05","69.0117","co2_cby_surface-insitu_6_allvalid.nc","28815"
"32","CDL","-105.1179","53.9871","co2_cdl_surface-insitu_6_allvalid.nc","66546"
"33","CES","4.927","51.971","co2_ces_tower-insitu_52_allvalid-200magl.nc","138617"
"34","CFA","147.057","-19.28","co2_cfa_surface-flask_2_representative.nc","494"
"35","CGO","144.69","-40.683","co2_cgo_surface-flask_4_representative.nc","434"
"36","CHL","-94.0667","58.75","co2_chl_surface-insitu_6_allvalid.nc","28854"
"37","CHM","-74.3","49.68","co2_chm_surface-insitu_6_allvalid.nc","24321"
"38","CHR","-157.1518","1.7","co2_chr_surface-flask_426_representative.nc","1296"
"39","CIB","-4.93","41.81","co2_cib_surface-flask_1_representative.nc","345"
"40","CIT","-118.1265","34.1365","co2_cit_surface-insitu_115_allhours-200magl.nc","31397"
"41","COP","-71.0825","42.3471","co2_cop_tower-insitu_59_allhours.nc","35850"
"42","CPS","-74.9764","49.8222","co2_cps_surface-insitu_6_allvalid.nc","41211"
"43","CPT","18.4891","-34.3523","co2_cpt_surface-flask_1_representative.nc","148"
"44","CRI","73.83","15.08","co2_cri_surface-flask_2_representative.nc","350"
"45","CRV","-147.598","64.9863","co2_crv_surface-pfp_1_allvalid.nc","881"
"46","CRZ","51.8478","-46.4337","co2_crz_surface-flask_1_representative.nc","848"
"47","CYA","110.517","-66.283","co2_cya_surface-flask_2_representative.nc","466"
"48","DEC","0.7867","40.7439","co2_dec_surface-insitu_431_allvalid.nc","19482"
"49","DRP","-64.69","-59","co2_drp_shipboard-flask_1_representative.nc","218"
"50","DSI","116.7297","20.6992","co2_dsi_surface-flask_1_representative.nc","244"
"51","DVV","-79.4369","36.7058","co2_dvv_tower-insitu_60_allvalid.nc","2609"
"52","EEC","-5.664","36.0586","co2_eec_surface-insitu_431_allvalid.nc","15602"
"53","EGB","-79.7832","44.231","co2_egb_surface-insitu_6_allvalid.nc","90404"
"54","EIC","-109.4284","-27.1597","co2_eic_surface-flask_1_representative.nc","792"
"55","ELL","0.9545","42.5748","co2_ell_surface-flask_431_representative.nc","139"
"56","ENA","-28.0257","39.0916","co2_ena_surface-insitu_64_allvalid-10magl.nc","10584"
"57","ESP","-126.5441","49.3825","co2_esp_surface-insitu_6_allvalid.nc","58951"
"58","EST","-110.2076","51.6636","co2_est_surface-insitu_6_allvalid.nc","56090"
"59","ETL","-104.9834","54.3501","co2_etl_surface-insitu_6_allvalid.nc","91947"
"60","FIK","25.6694","35.3378","co2_fik_surface-flask_11_representative.nc","246"
"61","FNE","-122.5737","58.8412","co2_fne_surface-insitu_6_allvalid.nc","10455"
"62","FPK","-105.1017","48.3078","co2_fpk_surface-insitu_60_allhours.nc","7733"
"63","FSD","-81.57","49.8752","co2_fsd_surface-insitu_6_allvalid.nc","188844"
"64","GAT","11.4429","53.0657","co2_gat_surface-insitu_425_allvalid.nc","5037"
"65","GCI01","-92.2829","32.469","co2_gci01_tower-insitu_60_allvalid.nc","7150"
"66","GCI02","-89.8539","33.7525","co2_gci02_tower-insitu_60_allvalid.nc","10667"
"67","GCI03","-89.7276","31.8869","co2_gci03_tower-insitu_60_allvalid.nc","10856"
"68","GCI04","-85.8911","33.1759","co2_gci04_tower-insitu_60_allvalid.nc","11596"
"69","GCI05","-85.8336","30.1951","co2_gci05_tower-insitu_60_allvalid.nc","14834"
"70","GIC","-5.1755","40.3457","co2_gic_surface-insitu_431_allvalid.nc","25161"
"71","GMI","144.656","13.386","co2_gmi_surface-flask_1_representative.nc","2480"
"72","GPA","131.0453","-12.2488","co2_gpa_surface-flask_2_representative.nc","59"
"73","HBA","-26.21","-75.605","co2_hba_surface-flask_1_representative.nc","1114"
"74","HDP","-111.65","40.56","co2_hdp_surface-insitu_3_nonlocal.nc","62719"
