"","gas","station","measurement","number","sample","extension"
"80","co2","cba","surface-flask","4","representative",".nc"
"81","co2","cby","surface-insitu","6","allvalid",".nc"
"82","co2","cby","surface-insitu","6","allvalid","NRT.nc"
"83","co2","cdl","surface-insitu","6","allvalid",".nc"
"84","co2","ces","tower-insitu","52","allvalid-120magl",".nc"
"85","co2","ces","tower-insitu","52","allvalid-200magl",".nc"
"86","co2","ces","tower-insitu","52","allvalid-20magl",".nc"
"87","co2","ces","tower-insitu","52","allvalid-60magl",".nc"
"88","co2","cfa","surface-flask","2","representative",".nc"
"89","co2","cgo","surface-flask","1","representative",".nc"
"90","co2","cgo","surface-flask","1","representative","NRT.nc"
"91","co2","cgo","surface-flask","2","representative",".nc"
"92","co2","cgo","surface-flask","4","representative",".nc"
"93","co2","chl","surface-insitu","6","allvalid",".nc"
"94","co2","chl","surface-insitu","6","allvalid","NRT.nc"
"95","co2","chm","surface-insitu","6","allvalid",".nc"
"96","co2","chr","surface-flask","1","representative",".nc"
"97","co2","chr","surface-flask","1","representative","NRT.nc"
"98","co2","chr","surface-flask","426","representative",".nc"
"99","co2","cib","surface-flask","1","representative",".nc"
"100","co2","cib","surface-flask","1","representative","NRT.nc"
"101","co2","cit","surface-insitu","115","allhours-200magl",".nc"
"102","co2","cma","aircraft-pfp","1","allvalid",".nc"
"103","co2","cma","aircraft-pfp","1","allvalid","NRT.nc"
"104","co2","cob2003b","aircraft-insitu","59","allvalid",".nc"
"105","co2","cob2004","aircraft-insitu","59","allvalid",".nc"
"106","co2","con","aircraft-flask","20","allvalid",".nc"
"107","co2","cop","tower-insitu","59","allhours",".nc"
"108","co2","cps","surface-insitu","6","allvalid",".nc"
"109","co2","cps","surface-insitu","6","allvalid","NRT.nc"
"110","co2","cpt","surface-flask","1","representative",".nc"
"111","co2","cpt","surface-flask","1","representative","NRT.nc"
"112","co2","cpt","surface-insitu","36","marine",".nc"
"113","co2","cri","surface-flask","2","representative",".nc"
"114","co2","crv","aircraft-pfp","1","allvalid",".nc"
"115","co2","crv","aircraft-pfp","1","allvalid","NRT.nc"
"116","co2","crv","surface-pfp","1","allvalid",".nc"
"117","co2","crv","surface-pfp","1","allvalid","NRT.nc"
"118","co2","crv","tower-insitu","1","allvalid-32magl",".nc"
"119","co2","crv","tower-insitu","1","allvalid-32magl","NRT.nc"
"120","co2","crz","surface-flask","1","representative",".nc"
"121","co2","crz","surface-flask","1","representative","NRT.nc"
"122","co2","cya","surface-flask","2","representative",".nc"
"123","co2","dc3","aircraft-insitu","428","allvalid-dc8",".nc"
"124","co2","dc3","aircraft-insitu","428","allvalid-falcon",".nc"
"125","co2","dec","surface-insitu","431","allvalid",".nc"
"126","co2","discover-aq","aircraft-insitu","428","allvalid-c130-co",".nc"
"127","co2","discover-aq","aircraft-insitu","428","allvalid-p3b-ca",".nc"
"128","co2","discover-aq","aircraft-insitu","428","allvalid-p3b-co",".nc"
"129","co2","discover-aq","aircraft-insitu","428","allvalid-p3b-tx",".nc"
"130","co2","dnd","aircraft-pfp","1","allvalid",".nc"
"131","co2","drp","shipboard-flask","1","representative",".nc"
"132","co2","drp","shipboard-flask","1","representative","NRT.nc"
"133","co2","dsi","surface-flask","1","representative",".nc"
"134","co2","dsi","surface-flask","1","representative","NRT.nc"
"135","co2","dvv","tower-insitu","60","allvalid",".nc"
"136","co2","eec","surface-insitu","431","allvalid",".nc"
"137","co2","egb","surface-insitu","6","allvalid",".nc"
"138","co2","eic","surface-flask","1","representative",".nc"
"139","co2","eic","surface-flask","1","representative","NRT.nc"
"140","co2","ell","surface-flask","431","representative",".nc"
"141","co2","ena","surface-insitu","64","allvalid-10magl",".nc"
"142","co2","esp","aircraft-pfp","1","allvalid",".nc"
"143","co2","esp","aircraft-pfp","1","allvalid","NRT.nc"
"144","co2","esp","surface-flask","2","representative",".nc"
"145","co2","esp","surface-insitu","6","allvalid",".nc"
"146","co2","esp","surface-insitu","6","allvalid","NRT.nc"
"147","co2","est","surface-insitu","6","allvalid",".nc"
"148","co2","est","surface-insitu","6","allvalid","NRT.nc"
"149","co2","etl","aircraft-pfp","1","allvalid",".nc"
"150","co2","etl","aircraft-pfp","1","allvalid","NRT.nc"
"151","co2","etl","surface-insitu","6","allvalid",".nc"
"152","co2","etl","surface-insitu","6","allvalid","NRT.nc"
"153","co2","fik","surface-flask","11","representative",".nc"
"154","co2","fne","surface-insitu","6","allvalid",".nc"
"155","co2","fne","surface-insitu","6","allvalid","NRT.nc"
"156","co2","fpk","surface-insitu","60","allhours",".nc"
"157","co2","fsd","surface-insitu","6","allvalid",".nc"
"158","co2","fsd","surface-insitu","6","allvalid","NRT.nc"
"159","co2","ftl","aircraft-pfp","1","allvalid",".nc"
"160","co2","fwi","aircraft-pfp","1","allvalid",".nc"
"161","co2","gat","surface-insitu","425","allvalid",".nc"
"162","co2","gci01","tower-insitu","60","allvalid",".nc"
"163","co2","gci02","tower-insitu","60","allvalid",".nc"
"164","co2","gci03","tower-insitu","60","allvalid",".nc"
"165","co2","gci04","tower-insitu","60","allvalid",".nc"
"166","co2","gci05","tower-insitu","60","allvalid",".nc"
"167","co2","gic","surface-insitu","431","allvalid",".nc"
"168","co2","gmi","surface-flask","1","representative",".nc"
"169","co2","gmi","surface-flask","1","representative","NRT.nc"
"170","co2","gpa","surface-flask","2","representative",".nc"
"171","co2","haa","aircraft-pfp","1","allvalid",".nc"
"172","co2","hba","surface-flask","1","representative",".nc"
"173","co2","hba","surface-flask","1","representative","NRT.nc"
"174","co2","hdp","surface-insitu","3","nonlocal",".nc"
"175","co2","hei","surface-insitu","22","allvalid",".nc"
"176","co2","hfm","aircraft-pfp","1","allvalid",".nc"
"177","co2","hfm","tower-insitu","59","allhours",".nc"
"178","co2","hil","aircraft-pfp","1","allvalid",".nc"
"179","co2","hil","aircraft-pfp","1","allvalid","NRT.nc"
"180","co2","hip","aircraft-insitu","59","allvalid",".nc"
"181","co2","hnp","surface-insitu","6","allvalid",".nc"
"182","co2","hnp","surface-insitu","6","allvalid","NRT.nc"
"183","co2","hpb","surface-flask","1","representative",".nc"
"184","co2","hpb","surface-flask","1","representative","NRT.nc"
"185","co2","hpb","surface-insitu","425","allvalid",".nc"
"186","co2","hsu","surface-flask","1","representative",".nc"
"187","co2","hsu","surface-flask","1","representative","NRT.nc"
"188","co2","htm","tower-insitu","424","allvalid-150magl",".nc"
"189","co2","htm","tower-insitu","424","allvalid-30magl",".nc"
"190","co2","htm","tower-insitu","424","allvalid-70magl",".nc"
"191","co2","hun","surface-flask","1","representative",".nc"
"192","co2","hun","surface-flask","1","representative","NRT.nc"
"193","co2","hun","tower-insitu","35","allvalid-10magl",".nc"
"194","co2","hun","tower-insitu","35","allvalid-115magl",".nc"
"195","co2","hun","tower-insitu","35","allvalid-48magl",".nc"
"196","co2","hun","tower-insitu","35","allvalid-82magl",".nc"
"197","co2","ice","surface-flask","1","representative",".nc"
"198","co2","ice","surface-flask","1","representative","NRT.nc"
"199","co2","intex-b","aircraft-insitu","428","allvalid-dc8",".nc"
"200","co2","intex-na","aircraft-insitu","428","allvalid-dc8",".nc"
"201","co2","inu","surface-insitu","6","allvalid",".nc"
"202","co2","inu","surface-insitu","6","allvalid","NRT.nc"
"203","co2","inx01","surface-insitu","60","allhours",".nc"
"204","co2","inx02","surface-insitu","60","allhours",".nc"
"205","co2","inx03","surface-insitu","60","allhours",".nc"
"206","co2","inx04","surface-insitu","60","allhours",".nc"
"207","co2","inx05","surface-insitu","60","allhours",".nc"
"208","co2","inx07","surface-insitu","60","allhours",".nc"
"209","co2","inx09","surface-insitu","60","allhours",".nc"
"210","co2","inx10","surface-insitu","60","allhours",".nc"
"211","co2","inx12","surface-insitu","60","allhours",".nc"
"212","co2","inx","aircraft-pfp","1","allvalid",".nc"
"213","co2","inx","surface-pfp","1","allvalid",".nc"
"214","co2","inx","surface-pfp","1","allvalid","NRT.nc"
"215","co2","izo","surface-flask","1","representative",".nc"
"216","co2","izo","surface-flask","1","representative","NRT.nc"
"217","co2","izo","surface-insitu","27","allvalid",".nc"
"218","co2","jfj","surface-insitu","49","allvalid",".nc"
"219","co2","jfj","surface-insitu","5","allvalid",".nc"
"220","co2","kas","surface-insitu","53","allvalid",".nc"
"221","co2","kcmp","tower-insitu","102","allhours-200magl",".nc"
"222","co2","key","surface-flask","1","representative",".nc"
"223","co2","key","surface-flask","1","representative","NRT.nc"
"224","co2","kum","surface-flask","1","representative",".nc"
"225","co2","kum","surface-flask","1","representative","NRT.nc"
"226","co2","kum","surface-flask","426","representative",".nc"
"227","co2","kum","surface-flask","4","representative",".nc"
"228","co2","kzd","surface-flask","1","representative",".nc"
"229","co2","kzm","surface-flask","1","representative",".nc"
"230","co2","lef","aircraft-pfp","1","allvalid",".nc"
"231","co2","lef","aircraft-pfp","1","allvalid","NRT.nc"
"232","co2","lef","surface-pfp","1","allvalid",".nc"
"233","co2","lef","surface-pfp","1","allvalid","NRT.nc"
"234","co2","lef","tower-insitu","1","allvalid-396magl",".nc"
"235","co2","lef","tower-insitu","1","allvalid-396magl","NRT.nc"
"236","co2","lew","surface-pfp","1","allvalid",".nc"
"237","co2","lew","surface-pfp","1","allvalid","NRT.nc"
"238","co2","lin","surface-insitu","425","allvalid",".nc"
"239","co2","ljo","surface-flask","426","representative",".nc"
"240","co2","ljo","surface-flask","4","representative",".nc"
"241","co2","llb","surface-flask","1","representative",".nc"
"242","co2","llb","surface-insitu","6","allvalid",".nc"
"243","co2","llb","surface-insitu","6","allvalid","NRT.nc"
"244","co2","lln","surface-flask","1","representative",".nc"
"245","co2","lln","surface-flask","1","representative","NRT.nc"
"246","co2","lmp","surface-flask","1","representative",".nc"
"247","co2","lmp","surface-flask","1","representative","NRT.nc"
"248","co2","lmu","surface-insitu","431","allvalid",".nc"
"249","co2","lut","surface-insitu","44","allvalid",".nc"
"250","co2","maa","surface-flask","2","representative",".nc"
"251","co2","mbo","surface-pfp","1","allvalid",".nc"
"252","co2","mbo","surface-pfp","1","allvalid","NRT.nc"
"253","co2","mbo","tower-insitu","1","allvalid-11magl",".nc"
"254","co2","mbo","tower-insitu","1","allvalid-11magl","NRT.nc"
"255","co2","mci","aircraft-pfp","1","allvalid",".nc"
"256","co2","mex","surface-flask","1","representative",".nc"
"257","co2","mex","surface-flask","1","representative","NRT.nc"
"258","co2","mhd","surface-flask","1","representative",".nc"
"259","co2","mhd","surface-flask","1","representative","NRT.nc"
