no,sitecode,lon,lat,file,records,monthes,flag
38,CHR,-157.1518,1.7,co2_chr_surface-flask_426_representative.nc,1296,193,1
39,CIB,-4.93,41.81,co2_cib_surface-flask_1_representative.nc,345,92,1
40,CIT,-118.1265,34.1365,co2_cit_surface-insitu_115_allhours-200magl.nc,31397,48,1
41,COP,-71.0825,42.3471,co2_cop_tower-insitu_59_allhours.nc,35850,54,1
42,CPS,-74.9764,49.8222,co2_cps_surface-insitu_6_allvalid.nc,41211,61,1
43,CPT,18.4891,-34.3523,co2_cpt_surface-flask_1_representative.nc,148,52,1
44,CRI,73.83,15.08,co2_cri_surface-flask_2_representative.nc,350,157,1
45,CRV,-147.59799999999998,64.9863,co2_crv_surface-pfp_1_allvalid.nc,881,63,1
46,CRZ,51.8478,-46.4337,co2_crz_surface-flask_1_representative.nc,848,203,1
47,CYA,110.51700000000001,-66.283,co2_cya_surface-flask_2_representative.nc,466,204,1
48,DEC,0.7867,40.7439,co2_dec_surface-insitu_431_allvalid.nc,19482,46,1
49,DRP,-64.69,-59.0,co2_drp_shipboard-flask_1_representative.nc,218,130,1
50,DSI,116.7297,20.6992,co2_dsi_surface-flask_1_representative.nc,244,82,1
51,DVV,-79.4369,36.7058,co2_dvv_tower-insitu_60_allvalid.nc,2609,0,0
52,EEC,-5.664,36.0586,co2_eec_surface-insitu_431_allvalid.nc,15602,36,1
53,EGB,-79.7832,44.231,co2_egb_surface-insitu_6_allvalid.nc,90404,142,1
54,EIC,-109.4284,-27.1597,co2_eic_surface-flask_1_representative.nc,792,204,1
55,ELL,0.9545,42.5748,co2_ell_surface-flask_431_representative.nc,139,89,1
56,ENA,-28.0257,39.0916,co2_ena_surface-insitu_64_allvalid-10magl.nc,10584,15,1
57,ESP,-126.5441,49.3825,co2_esp_surface-insitu_6_allvalid.nc,58951,94,1
58,EST,-110.2076,51.6636,co2_est_surface-insitu_6_allvalid.nc,56090,84,1
59,ETL,-104.9834,54.3501,co2_etl_surface-insitu_6_allvalid.nc,91947,137,1
60,FIK,25.6694,35.3378,co2_fik_surface-flask_11_representative.nc,246,198,1
61,FNE,-122.5737,58.8412,co2_fne_surface-insitu_6_allvalid.nc,10455,30,1
62,FPK,-105.1017,48.3078,co2_fpk_surface-insitu_60_allhours.nc,7733,0,0
63,FSD,-81.57,49.8752,co2_fsd_surface-insitu_6_allvalid.nc,188844,204,1
64,GAT,11.4429,53.0657,co2_gat_surface-insitu_425_allvalid.nc,5037,0,0
65,GCI01,-92.2829,32.469,co2_gci01_tower-insitu_60_allvalid.nc,7150,0,0
66,GCI02,-89.8539,33.7525,co2_gci02_tower-insitu_60_allvalid.nc,10667,17,1
67,GCI03,-89.7276,31.8869,co2_gci03_tower-insitu_60_allvalid.nc,10856,19,1
68,GCI04,-85.8911,33.1759,co2_gci04_tower-insitu_60_allvalid.nc,11596,22,1
69,GCI05,-85.8336,30.1951,co2_gci05_tower-insitu_60_allvalid.nc,14834,22,1
70,GIC,-5.1755,40.3457,co2_gic_surface-insitu_431_allvalid.nc,25161,48,1
71,GMI,144.656,13.386,co2_gmi_surface-flask_1_representative.nc,2480,204,1
72,GPA,131.0453,-12.2488,co2_gpa_surface-flask_2_representative.nc,59,63,1
73,HBA,-26.21,-75.605,co2_hba_surface-flask_1_representative.nc,1114,204,1
74,HDP,-111.65,40.56,co2_hdp_surface-insitu_3_nonlocal.nc,62719,117,1
75,HEI,8.674,49.417,co2_hei_surface-insitu_22_allvalid.nc,144198,190,1
76,HFM,-72.1714,42.5378,co2_hfm_tower-insitu_59_allhours.nc,33283,53,1
77,HNP,-79.3862,43.6121,co2_hnp_surface-insitu_6_allvalid.nc,17086,29,1
78,HPB,11.009931,47.801235999999996,co2_hpb_surface-insitu_425_allvalid.nc,11475,16,1
79,HSU,-124.75,41.0588,co2_hsu_surface-flask_1_representative.nc,78,104,1
80,HTM,13.419,56.0976,co2_htm_tower-insitu_424_allvalid-150magl.nc,6779,0,0
81,HUN,16.65,46.95,co2_hun_surface-flask_1_representative.nc,1148,204,1
82,ICE,-20.2884,63.3998,co2_ice_surface-flask_1_representative.nc,680,204,1
83,INU,-133.5333,68.3167,co2_inu_surface-insitu_6_allvalid.nc,40567,59,1
84,INX01,-86.4207,39.5805,co2_inx01_surface-insitu_60_allhours.nc,10364,20,1
85,INX02,-86.0183,39.7978,co2_inx02_surface-insitu_60_allhours.nc,10793,21,1
86,INX03,-86.1651,39.7833,co2_inx03_surface-insitu_60_allhours.nc,4540,0,0
