sitecode,lon,lat,file,2000-01-15,2000-02-15,2000-03-15,2000-04-15,2000-05-15,2000-06-15,2000-07-15,2000-08-15,2000-09-15,2000-10-15,2000-11-15,2000-12-15,2001-01-15,2001-02-15,2001-03-15,2001-04-15,2001-05-15,2001-06-15,2001-07-15,2001-08-15,2001-09-15,2001-10-15,2001-11-15,2001-12-15,2002-01-15,2002-02-15,2002-03-15,2002-04-15,2002-05-15,2002-06-15,2002-07-15,2002-08-15,2002-09-15,2002-10-15,2002-11-15,2002-12-15,2003-01-15,2003-02-15,2003-03-15,2003-04-15,2003-05-15,2003-06-15,2003-07-15,2003-08-15,2003-09-15,2003-10-15,2003-11-15,2003-12-15,2004-01-15,2004-02-15,2004-03-15,2004-04-15,2004-05-15,2004-06-15,2004-07-15,2004-08-15,2004-09-15,2004-10-15,2004-11-15,2004-12-15,2005-01-15,2005-02-15,2005-03-15,2005-04-15,2005-05-15,2005-06-15,2005-07-15,2005-08-15,2005-09-15,2005-10-15,2005-11-15,2005-12-15,2006-01-15,2006-02-15,2006-03-15,2006-04-15,2006-05-15,2006-06-15,2006-07-15,2006-08-15,2006-09-15,2006-10-15,2006-11-15,2006-12-15,2007-01-15,2007-02-15,2007-03-15,2007-04-15,2007-05-15,2007-06-15,2007-07-15,2007-08-15,2007-09-15,2007-10-15,2007-11-15,2007-12-15,2008-01-15,2008-02-15,2008-03-15,2008-04-15,2008-05-15,2008-06-15,2008-07-15,2008-08-15,2008-09-15,2008-10-15,2008-11-15,2008-12-15,2009-01-15,2009-02-15,2009-03-15,2009-04-15,2009-05-15,2009-06-15,2009-07-15,2009-08-15,2009-09-15,2009-10-15,2009-11-15,2009-12-15,2010-01-15,2010-02-15,2010-03-15,2010-04-15,2010-05-15,2010-06-15,2010-07-15,2010-08-15,2010-09-15,2010-10-15,2010-11-15,2010-12-15,2011-01-15,2011-02-15,2011-03-15,2011-04-15,2011-05-15,2011-06-15,2011-07-15,2011-08-15,2011-09-15,2011-10-15,2011-11-15,2011-12-15,2012-01-15,2012-02-15,2012-03-15,2012-04-15,2012-05-15,2012-06-15,2012-07-15,2012-08-15,2012-09-15,2012-10-15,2012-11-15,2012-12-15,2013-01-15,2013-02-15,2013-03-15,2013-04-15,2013-05-15,2013-06-15,2013-07-15,2013-08-15,2013-09-15,2013-10-15,2013-11-15,2013-12-15,2014-01-15,2014-02-15,2014-03-15,2014-04-15,2014-05-15,2014-06-15,2014-07-15,2014-08-15,2014-09-15,2014-10-15,2014-11-15,2014-12-15,2015-01-15,2015-02-15,2015-03-15,2015-04-15,2015-05-15,2015-06-15,2015-07-15,2015-08-15,2015-09-15,2015-10-15,2015-11-15,2015-12-15,2016-01-15,2016-02-15,2016-03-15,2016-04-15,2016-05-15,2016-06-15,2016-07-15,2016-08-15,2016-09-15,2016-10-15,2016-11-15,2016-12-15,2017-01-15,2017-02-15,2017-03-15,2017-04-15,2017-05-15,2017-06-15,2017-07-15,2017-08-15,2017-09-15,2017-10-15,2017-11-15,2017-12-15
AAC,-82.2188,29.7381,co2_aac_surface-insitu_60_allhours.nc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,396.54877941176466,398.59010189573473,399.8315988970589,391.57117350427353,391.17814666666663,392.70910833333335,NaN,NaN,NaN,NaN,NaN,399.2802373626374,401.50687611940316,404.18612127659577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,396.695171875,399.61883571428564,398.4557478260869,405.7185,398.37275523255806,397.7809662721894,393.65121835443017,397.07721025641035,383.85005517241376,391.75156818181824,393.0317727272728,399.43651219512185,405.07980124223616,401.3321918128656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ABP,-38.17,-12.77,co2_abp_surface-flask_1_representative.nc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,379.9605,379.7313666666666,379.7166,NaN,380.3296,380.1934,380.51935,380.710775,381.96013333333326,382.071725,381.893275,382.2425,NaN,NaN,NaN,NaN,NaN,382.1068,382.3218,383.2685,383.86665000000005,384.9377,383.8803333333333,384.3104666666666,384.25195,383.28432000000004,383.6049666666667,383.9782,384.0341,383.843425,384.2933666666667,384.714975,385.00275,385.0695,385.77662000000004,385.51125,385.5797666666667,385.16405,384.8772,385.3426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ABT,-122.3667,49.0333,co2_abt_surface-insitu_6_allvalid.nc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,408.20364183673485,407.4305454039,406.3262484480434,406.024510516252,404.0666877112136,399.6639893817201,399.3741976777938,409.7462982116242,405.28124388888887,413.18347833333354,433.8087276881722,420.5335177018635,409.88425672043013,408.47180239436585,403.7488606182798,406.0249817204298,400.95611559507563,398.06831369862994,404.87113946957885,417.6076671052632,409.57245267175597,406.8061468546637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ACR,-84.3324,35.9311,co2_acr_surface-insitu_60_allhours.nc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,403.81648834745806,398.1234557926829,397.57222537764363,392.7089603007523,391.11044643874703,386.1584072254335,385.38855462794913,379.4146540084389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,392.2430266055043,401.5191379888265,401.21270157593165,NaN,NaN,406.75520616438376,403.01652253521104,401.44586258596985,397.0506425110128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ACV,-79.4523,39.119,co2_acv_surface-insitu_60_allhours.nc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,381.48562066115716,385.62722446959015,393.70920041666636,395.21825,NaN,NaN,NaN,393.0099604989609,389.1761681081081,384.57850905172404,375.2233987012984,371.75070645161287,NaN,NaN,NaN,NaN,NaN,396.66472273901746,396.55869314516116,395.6024373049649,392.4675918194637,380.380427355623,375.1825734513272,371.17289168053236,379.28227247838606,385.41770666666673,NaN,NaN,398.0016350230417,398.6652971830985,398.15513543091623,396.2211471728589,390.8946730593603,380.6971188172043,377.7908617848972,374.4625187845304,380.62715507246384,394.02095549999984,397.23706375000006,399.3077992307694,403.3758592741932,401.9677001488098,401.56367123655855,399.6155745428968,394.53656234177214,387.4152992570584,380.46038786692725,378.5222374376041,388.93742647058883,395.25131109530633,397.3718188811186,401.3933959940653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ALT,-62.5072,82.4508,co2_alt_surface-insitu_6_allvalid.nc,373.6057380165287,375.7949912103751,375.55800914368683,375.55090681818166,375.9283509018034,373.04457402376914,366.76735391891884,361.5906944827586,362.455457381616,366.7280807575759,370.3489595190384,373.1325384097034,375.6099165980799,375.8980346094944,376.2532078541371,377.3066412587413,377.2925124074079,374.62173722222235,367.7042275908477,362.3753193724417,363.71118013888895,368.269410544218,373.2079315277781,375.1831525083612,377.6318470491808,377.2859282904688,378.5719486486485,378.9306719101128,378.6547762376239,375.842529027778,370.5915441002951,364.4449603988603,366.27859508474586,370.69680567567565,375.2225863505747,377.88400660247567,378.9546330459771,380.8725800438602,381.690709405256,381.2881271067415,381.94369711399736,379.411282432432,372.44872471264364,367.8600800824178,369.3612401273888,372.86611502029746,377.7456898017001,380.4230388362656,382.58217096336466,382.4401269230765,382.67904240331484,383.5837648484848,383.2845506419399,381.6816809182213,374.6773069892468,369.3915008391607,369.23589832636037,373.78376005398115,378.52784069930067,382.15648333333326,384.54379521203833,384.6530336380253,384.8763798319329,385.85338455284574,385.35038929088273,383.22836178521584,377.13238422764226,370.88454622905,371.1485455319148,376.4489884038195,381.5272912710569,385.200011965812,385.1874910591475,385.90733009174306,387.0335805214724,387.7520346080306,388.5584574886538,386.7866190743338,379.1407103542231,373.74095363881383,374.9228720496891,379.37750175953084,384.12721017441805,387.126521947674,388.7346040955631,389.1419073122527,390.30532725225237,390.10103016949165,389.4783655581948,386.498829006085,377.8210266891895,373.5983751902585,376.25433137254913,381.20306408977564,385.45735388026634,389.4158780487806,390.43542764457,391.68286092715226,392.7112644444442,393.0654446268657,392.54064874608144,388.89520372492876,382.3397768156425,377.0463937499998,378.2304577405854,381.8716360433607,387.939916745656,389.96785672268885,392.7148040520984,392.28025121212136,392.95526917712687,394.12966450617273,393.70648650472384,391.4073707042256,383.976056616644,377.9528854166666,378.6694237068965,383.598123529412,387.3200883171074,391.20138776881737,392.88618353576265,393.53468154761896,394.6074155525232,395.5661376388887,395.2196592991911,392.6719967787112,386.0290005442176,380.87216748091623,382.9664783699059,387.4973274193551,391.707554949785,394.82819140518404,396.60336509572886,397.3784360119049,397.936185349462,398.5715665667166,398.14385422343344,394.68203203342637,387.7145503373819,381.42808915662636,383.2475217987806,385.87036732673295,394.30807427007306,398.12465462427747,398.3425475100944,398.71115546995367,399.71038183041696,400.5112813813813,400.3498752671752,396.2832230555557,388.7797090540536,383.7218815363883,386.3369870833336,388.5417567567568,NaN,NaN,400.3223912541252,401.8486067669177,401.7299717006805,402.3841585603115,402.9099563218388,400.38429966386536,393.775919073569,388.3075061657033,388.77340419580423,393.0546691931543,398.62524042553207,402.45544199706296,402.59885145038163,404.4294596747967,405.414388150808,405.1597691176469,404.9474884681583,402.93811785714274,395.1335440476192,389.5528875630252,390.0822666092942,393.7042506249999,400.55251779816473,404.1156528682172,405.1885903546095,406.79980949033364,407.461148990579,407.2598972265025,406.7126587837837,403.54143481894135,396.3404828146147,391.30327106824944,392.06694849354386,396.6066021505378,402.86778469387764,406.5419366085582,407.8224449528937,408.8590151376146,409.58919663978514,409.84641173974524,409.3764878877397,406.49805348189415,399.3100946341466,393.3966662585031,395.63678597222196,401.0230929190749,405.0753680814937,408.4513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AME,-96.4701,41.1649,co2_ame_surface-insitu_60_allhours.nc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,392.13534118438764,393.5534520833333,394.0587463847205,394.7804618384398,388.35795416666673,381.9683980528509,372.23380027210925,382.45881959459473,387.75070041958054,391.3500682158917,394.808524137931,398.9331386394561,395.8157953929544,399.38105863570337,396.3844342318061,397.77058008534857,392.7730850404317,386.3882539548024,382.9612790940768,375.80788922237326,384.7438215796895,389.29129361111114,394.29104039548065,395.509011382114,394.7805464985994,396.5621752279634,398.74767407912657,402.0890520949728,392.6985230769232,387.4555652719666,369.9937485868104,374.6007823369568,384.35989651810576,393.7559741935475,401.979632729805,397.36648809523837,404.6094230978263,402.9261275423728,405.0999676075269,402.8724376044565,394.9704193548387,389.6243376912377,386.04619459833776,387.1696437762236,394.4355482117312,400.451858243243,398.41264574780035,402.4033592032969,401.90653324213423,400.5268504464286,402.3219831989247,403.04369082397017,399.9873645885289,NaN,NaN,NaN,NaN,NaN,NaN,397.76013400809717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AMS,77.5378,-37.7983,co2_ams_surface-insitu_11_representative.nc,366.09977973950765,366.1005970845483,366.405139275766,366.7758165266104,366.9672853856562,367.46066685314673,367.8563425240058,368.03538112947695,367.9575757911393,367.81665462068975,367.5734257731957,367.147343478261,367.03206972222193,366.9708275707897,367.18872877094964,367.54105596072935,368.0619911170926,368.5694752447553,368.8983094722602,369.4836055480377,369.6240023842914,369.6955881481481,369.47267006993,369.15884486486465,369.0026635994587,368.7821954819273,369.0994507102273,369.40672364395033,369.9373405953994,370.46535847222236,371.1204237196766,371.6170430894314,371.9419202777778,371.7769311740892,371.3890230312033,371.4426842741937,371.34730431848885,371.49071300448435,371.6338465493912,372.02804597222234,372.56675658073266,373.0554016689848,373.50634932432433,374.10412692828146,374.2177917941584,374.0943715053765,373.6743617052024,373.38629241486115,373.4706722741437,373.47488908507256,373.66804033850474,374.14571138888886,374.57267552552565,375.1215066187049,375.6819663755462,376.24788851351366,375.8356705172412,375.8775884552842,375.34719145907457,375.01766153846137,374.9260558282209,375.0810268365817,375.3797708215292,375.7474813852812,376.3438332413791,377.0126545193688,377.6137442934782,378.03759811320776,378.36143073713515,378.09736321839097,377.79742740740716,377.6147896000005,377.5947849635035,377.74926186440695,377.891249662618,378.35167932862197,378.9191235204855,379.30678508287286,379.67485949008505,379.7612180124223,379.71562907916,379.61399077429985,379.3084241444867,379.1883580213904,379.1692141833809,379.28272102425905,379.34342163865546,379.76078391376495,380.21193199052095,380.88948439108117,381.3583179265657,381.70616520376177,382.028984672897,382.0431370705246,381.54537716701884,381.4248493506491,381.6156257309941,381.39810659722224,381.72090046728965,382.0900205787781,382.2957820895522,382.93049599303146,383.4508786046514,383.63455776397524,383.7046913043478,383.496148833592,382.9689092979126,NaN,NaN,383.0094558052437,383.22936775510146,383.5119172619049,383.7387318435751,384.1885452380952,384.8136211981567,385.18847436708876,385.15474522003024,385.0529425076448,384.77063130148287,384.431729953198,384.6760563636362,384.6485444664032,384.6796375478925,384.973586666667,385.71139774011317,386.13297977528083,386.79865232919263,387.6771630648328,387.6244311881188,387.4788197508899,387.23060019305024,386.9398116640744,386.84153826458055,386.74872250922516,386.7755973049648,387.16681909722206,387.4217041666666,388.17085960264916,388.6733228848822,388.8730280120479,388.95039114583335,388.9878800859598,388.80873323170783,388.703662466488,388.26760623781695,388.3465683035719,388.56795765517234,389.16730045731714,389.80020472879033,390.43491251778084,390.98959243466317,391.2964618296526,391.5691463726883,391.3471096818805,390.80794921540655,390.9228120815141,390.7798448840381,390.83874690799416,391.2349236051507,391.90343142857165,392.55843467406373,393.02052857142854,393.7726525170072,394.2529158967389,394.29266511299454,393.95473999999984,393.8665420310289,393.6052949522505,393.5531954607981,393.6548631818183,393.89290897959177,394.2459398591552,394.53809234234217,394.80849607072713,395.3549491017962,395.75852168674703,395.78212552891466,395.8677117812062,395.2260411128281,395.1751850434788,394.75140395634367,394.8202770739064,395.31407319727896,395.8824617977525,396.4917138041737,397.239355836849,397.679127595629,398.2983960597823,398.49107050561753,398.36877115646286,398.05475615384637,397.5216485549137,397.7859790190737,397.93405014662767,397.9720085383504,398.6510103610678,399.2122359612728,400.1691275000002,400.89817581521754,401.4588885444744,401.5025054852324,401.34743899456527,401.0086761702129,400.75765692934766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AMT,-68.6821,45.0345,co2_amt_surface-pfp_1_allvalid.nc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,392.162025,393.4034222222222,393.5407818181818,394.852,395.8512421052632,393.8475904761905,390.1514375,NaN,NaN,NaN,NaN,386.9189190476191,392.985112,394.00697647058814,396.80901875000006,395.4220173913044,395.66067142857145,393.54745909090906,392.5543857142857,383.7660037037037,377.5887666666666,377.3920714285714,381.9126571428572,388.90169629629634,395.39496842105257,399.405616,399.56306551724134,401.84578750000014,398.9518033333334,399.4673034482759,393.9252,385.9434181818182,379.7277,377.72170666666665,384.87983846153844,395.25416666666666,400.23137,402.42413846153846,400.5657307692308,402.38715454545456,400.78115,399.68109166666665,394.9981,387.8866230769231,383.1425,382.00116666666673,384.87045384615385,394.77019166666673,401.0514636363636,401.8238583333332,404.22224,402.7458,402.48767,403.0158166666667,398.071325,390.9596111111112,385.2732416666667,380.3666384615384,387.8061857142857,397.99944166666677,401.53115555555564,406.09000000000015,NaN,405.83081,406.7408846153846,403.8341666666667,401.89358888888887,390.7029,383.02347777777777,381.10857499999986,388.2490692307693,397.549725,403.65188181818183,405.13737272727275,407.53791,407.5278666666666,408.9921125,405.92698181818184,402.3248,392.28367272727274,386.5680555555555,386.49460909090914,388.08841111111116,399.76401,408.38886666666673,411.1337333333333,411.7446818181817,411.2553272727273,411.39577857142876,409.6519666666666,402.52618181818184,394.88259230769233,390.5830857142857,388.8174,394.6976133333334,401.5373846153846,410.4958916666666,413.6025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AMY,126.3295,36.5389,co2_amy_surface-flask_1_representative.nc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,410.40185,410.693925,409.766725,413.576875,410.3826,405.482575,396.4176666666667,399.74115,394.5092571428571,398.1101000000001,404.73041666666666,409.1134,417.01587500000005,411.7225666666666,417.9769,413.13805,412.47826666666674,407.15995,406.24495,402.7561666666666,400.2816333333333,398.233275,405.94723333333326,NaN,426.16245,411.7983,414.51605,414.886025,420.78400000000005,412.7979,410.4225333333334,NaN,409.37475,403.47656,410.7319,417.30066,415.7502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
